Date,Type,Value
29/03/20,New,2
30/03/20,New,3
31/03/20,New,5
01/04/20,New,10
02/04/20,New,6
03/04/20,New,20
04/04/20,New,24
05/04/20,New,59
06/04/20,New,32
07/04/20,New,44
08/04/20,New,61
09/04/20,New,214
10/04/20,New,105
11/04/20,New,50
29/03/20,Total,2
30/03/20,Total,5
31/03/20,Total,10
01/04/20,Total,20
02/04/20,Total,26
03/04/20,Total,46
04/04/20,Total,70
05/04/20,Total,129
06/04/20,Total,161
07/04/20,Total,205
08/04/20,Total,266
09/04/20,Total,480
10/04/20,Total,585
11/04/20,Total,635
