Press Release Date,name,value
1/4/2020,PUQs in HQO,4289
1/4/2020,PUQs in GQF,870
2/4/2020,PUQs in HQO,3992
2/4/2020,PUQs in GQF,900
3/4/2020,PUQs in HQO,4118
3/4/2020,PUQs in GQF,1719
4/4/2020,PUQs in HQO,4045
4/4/2020,PUQs in GQF,1792
5/4/2020,PUQs in HQO,3542
5/4/2020,PUQs in GQF,1913
6/4/2020,PUQs in HQO,2638
6/4/2020,PUQs in GQF,1873
7/4/2020,PUQs in HQO,3047
7/4/2020,PUQs in GQF,2493
8/4/2020,PUQs in HQO,3097
8/4/2020,PUQs in GQF,2386
9/4/2020,PUQs in HQO,3251
9/4/2020,PUQs in GQF,4314
